id,Basic Income Type,Income Test,Payment Unit,Payment Unit2,Benefit Level,scaling Factor,BRR,Break-Even Point,All Recipients,Gross Cost,Gross Cost(M), Gross Cost to Parents , Gross Cost to Coupled Recipients , Gross Cost Families - Quartile 1 , Gross Cost Families - Quartile 2 , Gross Cost Families - Quartile 3 , Gross Cost Families - Quartile 4 , Gross Cost Individuals - Quartile 1 , Gross Cost Individuals - Quartile 2 , Gross Cost Individuals - Quartile 3 , Gross Cost Individuals - Quartile 4 ,Percentage Change in Poverty Rate,% change in PR,Poverty Rate After Basic Income,Poverty Reduction Efficiency,Poverty Reduction Efficiency (B),Mean Change in Depth of Poverty,% Change in PD,Depth of Poverty Efficiency,Percentage Change in Gini Coefficient (family income),Gini Coefficient (family income) Efficiency,Percentage Change in Gini Coefficient (individual income),Gini Coefficient (individual income) Efficiency,Mean Age of Recipients,Poverty Rate Before Basic Income, Poverty count with Basic Income , Total Number of People In Poverty Before BI , Mean Depth of Poverty After Basic Income , Mean Depth of Poverty Before BI (for recipients) ,"Gini Coefficient after BI, families",Gini Coefficient Before BI - family income,"Gini Coefficient after BI, individuals",Gini Coefficient Before BI - individual income,Total Mean Age,Total Number of Parents,Total Number of people that are in a Couple,Total Working-Age Population,Number of Recipients that are in a Couple,Number of Recipients that are Parents
11,RTC,Individual,SQRT(2),Family,1000,sqrt(N),50,2000,230099,"$177,413,120.34 ",177,"$48,934,866 ","$76,324,643 ","$119,468,354 ","$14,385,162 ","$22,538,067 ","$21,021,538 ","$177,409,585 ", $-   , $-   ,"$3,536 ",-0.15,-15.11,0.080362283,8.52E-10,416874,-0.0311703,-3.12,1.76E-10,-0.192134529,1.08E-09,-0.217915922,1.23E-09,35,0.094671488,"415,363","489,322","$1,918 ","$1,957 ",0.513082882,0.611663818,0.50222171,0.570196688,41,"1,695,015","2,481,629","5,168,631","115,790","73,384"
12,RTC,Individual,SQRT(2),Family,1000,sqrt(N),75,1333,215657,"$169,542,039.46 ",170,"$46,936,704 ","$73,274,237 ","$113,892,481 ","$13,791,003 ","$21,467,731 ","$20,390,825 ","$169,538,504 ", $-   , $-   ,"$3,536 ",-0.15,-15.11,0.080362283,8.91E-10,436228,-0.030786968,-3.08,1.82E-10,-0.192012429,1.13E-09,-0.217749909,1.28E-09,36,0.094671488,"415,363","489,322","$1,919 ","$1,957 ",0.513135436,0.611663818,0.50229018,0.570196688,41,"1,695,015","2,481,629","5,168,631","110,541","69,456"
13,RTC,Individual,Per Capita,Individual,1000,N,15,6667,359223,"$268,614,603.75 ",269,"$85,035,756 ","$134,180,278 ","$164,732,176 ","$25,357,612 ","$42,049,526 ","$36,475,289 ","$268,594,760 ","$14,843 ", $-   ,"$5,000 ",-0.15,-15.14,0.080339067,5.64E-10,275782,-0.044402179,-4.44,1.65E-10,-0.193157122,7.19E-10,-0.219850078,8.18E-10,36,0.094671488,"415,243","489,322","$1,903 ","$1,957 ",0.512643141,0.611663818,0.501425405,0.570196688,41,"1,695,015","2,481,629","5,168,631","177,500","111,560"
14,RTC,Individual,Per Capita,Individual,1000,N,30,3333,259824,"$222,386,519.10 ",222,"$70,633,995 ","$112,727,767 ","$135,208,435 ","$21,638,243 ","$34,665,486 ","$30,874,355 ","$222,379,425 ","$2,094 ", $-   ,"$5,000 ",-0.15,-15.14,0.080340229,6.81E-10,333082,-0.036490745,-3.65,1.64E-10,-0.192520306,8.66E-10,-0.218904451,9.84E-10,36,0.094671488,"415,249","489,322","$1,911 ","$1,957 ",0.5129169,0.611663818,0.501814408,0.570196688,41,"1,695,015","2,481,629","5,168,631","129,498","80,236"
15,RTC,Individual,Per Capita,Individual,1000,N,50,2000,230099,"$206,682,951.50 ",207,"$66,364,819 ","$105,594,475 ","$124,736,677 ","$20,343,692 ","$31,873,640 ","$29,728,944 ","$206,677,952 ", $-   , $-   ,"$5,000 ",-0.15,-15.13,0.080346033,7.32E-10,358244,-0.034379823,-3.44,1.66E-10,-0.192289591,9.30E-10,-0.218576118,1.06E-09,35,0.094671488,"415,279","489,322","$1,913 ","$1,957 ",0.513016153,0.611663818,0.501949617,0.570196688,41,"1,695,015","2,481,629","5,168,631","115,790","73,384"
16,RTC,Individual,Per Capita,Individual,1000,N,75,1333,215657,"$197,674,413.50 ",198,"$63,574,358 ","$101,406,611 ","$118,974,053 ","$19,503,423 ","$30,359,957 ","$28,836,981 ","$197,669,414 ", $-   , $-   ,"$5,000 ",-0.15,-15.13,0.080346033,7.65E-10,374570,-0.033962331,-3.4,1.72E-10,-0.192159981,9.72E-10,-0.218386486,1.10E-09,36,0.094671488,"415,279","489,322","$1,915 ","$1,957 ",0.513071929,0.611663818,0.502027742,0.570196688,41,"1,695,015","2,481,629","5,168,631","110,541","69,456"
17,UBI,N/A,SQRT(2),Family,1000,sqrt(N),0,,3049257,"$2,568,261,898.20 ",2568,"$638,492,141 ","$1,273,698,898 ","$566,471,396 ","$592,081,112 ","$660,708,100 ","$749,001,291 ","$671,778,553 ","$657,101,278 ","$635,115,049 ","$604,267,018 ",-0.22,-21.94,0.073900029,8.54E-11,41803,-0.262846866,-26.28,1.02E-10,-0.206166014,8.03E-11,-0.234724194,9.14E-11,41,0.094671488,"381,962","489,322","$1,788 ","$1,957 ",0.507114123,0.611663818,0.495384977,0.570196688,41,"1,695,015","2,481,629","5,168,631","1,754,694","866,069"
18,UBI,N/A,Per Capita,Individual,1000,N,0,,3049257,"$3,049,257,000.00 ",3049,"$866,069,000 ","$1,754,694,000 ","$581,003,000 ","$641,047,000 ","$809,632,000 ","$1,017,575,000 ","$762,219,000 ","$762,363,000 ","$761,893,000 ","$762,782,000 ",-0.23,-23.29,0.072620004,7.64E-11,37378,-0.270532434,-27.05,8.87E-11,-0.206512421,6.77E-11,-0.237577632,7.79E-11,41,0.094671488,"375,346","489,322","$1,775 ","$1,957 ",0.506968523,0.611663818,0.494242787,0.570196688,41,"1,695,015","2,481,629","5,168,631","1,754,694","866,069"
19,RTC,Family,SQRT(2),Family,5000,sqrt(N),15,33333,886684,"$2,276,661,859.60 ",2277,"$220,790,907 ","$253,417,037 ","$2,007,844,945 ","$268,763,137 ","$39,572 ","$14,207 ","$1,856,088,465 ","$420,199,205 ","$367,087 ","$7,103 ",-0.32,-31.6,0.064758733,1.39E-10,67910,-0.479739767,-47.97,2.11E-10,-0.230771706,1.01E-10,-0.256075352,1.12E-10,34,0.094671488,"334,714","489,322","$1,476 ","$1,957 ",0.496975853,0.611663818,0.48696427,0.570196688,41,"1,695,015","2,481,629","5,168,631","165,283","120,428"
20,RTC,Family,SQRT(2),Family,5000,sqrt(N),30,16667,473246,"$1,252,839,594.03 ",1253,"$86,614,013 ","$105,020,292 ","$1,251,969,249 ","$870,345 ", $-   , $-   ,"$1,249,381,781 ","$3,457,813 ", $-   , $-   ,-0.18,-18.13,0.077503696,1.45E-10,70826,-0.169856602,-16.99,1.36E-10,-0.214246944,1.71E-10,-0.239500791,1.91E-10,32,0.094671488,"400,588","489,322","$1,650 ","$1,957 ",0.503739229,0.611663818,0.493475939,0.570196688,41,"1,695,015","2,481,629","5,168,631","51,458","44,997"
